gameid,avg_kd,sum_likelihood
7849699842308705220,0.9554630570316537,139,0.06992897156470859
7223871786847672630,0.953830779147606,150,0.05689781745979402
6607285295024512247,0.7440219026045282,142,8.481439976130011e-15
15406486807958266569,1.2403826013139452,146,0.9912441852396645
11099474327914851438,1.1027240199678894,145,0.9719484926094014
582055752045831914,1.041419133718442,144,0.7407121938142772
8874565136949137274,1.0989507896089636,150,0.9692207620172598
1281350703008187673,1.2274198357197563,139,0.9916578741045261
18275799211739640356,1.2502038448964528,150,0.9910061748468035
11842740975207298789,1.1202803713437302,149,0.9844093451186451
2090483311402538271,1.1424755073538164,146,0.9894206228918611
11588210028858315162,1.0156617960429943,145,0.5124811167051777
14316164920149512382,1.062944430804022,142,0.8702788953324507
7964138383420193493,0.7579837574574861,40,6.55356361748265e-05
17396546973397287174,0.8726305751564699,143,7.628395230894179e-05
10639122505242576785,0.9317409179872961,145,0.015867959230694263
4771488682823678104,1.2293022639747735,143,0.991420931080813
14935447145601955777,1.2579785397409813,143,0.991424092160802
6198019119137649761,1.104409063519079,145,0.9736677260746357
14329989708450918935,1.0424657598964695,145,0.7498969673031172
10940809917985062617,1.2278507969239887,145,0.9913015934470728
15699835231020052730,1.0494768434705783,35,0.6780295591215331
5500481292230277188,1.0279944250488104,40,0.5842830183839127
742915136100630430,0.947562666061871,147,0.04159357692146385
13322431108970169299,1.0524393988549514,147,0.81774587738467
8533446107276270254,0.6968197412905297,133,2.643670605700345e-19
8231272390096946992,0.7919461284836983,91,3.9944696015694057e-07
